Day,Channel,Pillar,Hook,CTA,Goal
1,IG Reels + TikTok + YT Shorts,Problema,Dove finiscono davvero i soldi a fine mese?,Scarica Budget Reset gratis,Lead
2,IG Reels + TikTok,Educazione,Il tuo saldo non è il tuo budget.,Link in bio,Traffic
3,IG Reels + TikTok + YT Shorts,Psicologia,Non sei spendaccione: ti manca un sistema.,Scarica gratis,Lead
4,IG Reels + TikTok,Demo,Ti faccio vedere Budget Reset in 15 secondi.,Provalo gratis,Activation
5,IG Reels + TikTok,Provocazione,"Se risparmi solo quello che resta, non stai scegliendo di risparmiare.",Scarica gratis,Lead
6,IG + Stories,Lifestyle,Il controllo del budget può durare 10 minuti.,Fai il tuo Reset,Activation
7,IG Reels + TikTok + YT Shorts,CTA,Hai 10 minuti? Fai il tuo primo Reset.,Scarica gratis,Lead
8,IG Reels + TikTok,Problema,I 5 € che non conti mai.,Link in bio,Traffic
9,IG Reels + TikTok,Educazione,Le 4 categorie per capire dove vanno i soldi.,Scarica gratis,Lead
10,YT + Shorts,Psicologia,Perché spendere è facile e pianificare no.,Guarda il metodo,Trust
11,IG Reels + TikTok,Demo,Quanto puoi spendere questa settimana?,Provalo gratis,Activation
12,IG + Stories,Educazione,"Abbonamenti: l'errore non è averli, è dimenticarli.",Fai il check,Lead
13,IG Reels + TikTok,Provocazione,Non devi smettere di vivere. Devi sapere quanto puoi permetterti.,Scarica gratis,Lead
14,IG Reels + TikTok + YT Shorts,CTA,7 giorni per rimettere ordine.,Scarica gratis,Lead
15,IG Reels + TikTok,Problema,Il giorno dello stipendio è già un piano finanziario.,Link in bio,Traffic
16,IG Reels + TikTok,Educazione,"Dividi il denaro per intenzione, non per impulso.",Scarica gratis,Lead
17,IG Reels + TikTok,Psicologia,L'effetto “me lo merito”.,Fai il Reset,Trust
18,IG Reels + TikTok,Demo,Da saldo bancario a budget disponibile.,Provalo gratis,Activation
19,IG Reels + TikTok,Provocazione,Il budget non serve per dirti no. Serve per dirti sì senza ansia.,Scarica gratis,Lead
20,YT + Shorts,Educazione,Come fare un budget se non ne hai mai fatto uno.,Scarica gratis,Lead
21,IG Reels + TikTok,CTA,Controllo settimanale: 5 minuti.,Scarica gratis,Lead
22,IG Reels + TikTok,Problema,La spesa che dimentichi è quella che pesa.,Link in bio,Traffic
23,IG Reels + TikTok,Educazione,Un obiettivo da 50 € batte una promessa da 500 € che molli.,Scarica gratis,Lead
24,IG Reels + TikTok,Demo,Costruisci il tuo primo fondo di emergenza.,Provalo gratis,Activation
25,IG Reels + TikTok,Psicologia,Il problema non è il caffè da 2 €. È non sapere il totale.,Scarica gratis,Lead
26,IG + Stories,Lifestyle,Il mio reset del venerdì.,Fallo anche tu,Activation
27,IG Reels + TikTok,Provocazione,Quanto ti resta davvero dopo le spese già previste?,Scoprilo gratis,Lead
28,YT + Shorts,Educazione,Come risparmiare con uno stipendio normale.,Scarica gratis,Lead
29,IG Reels + TikTok,Demo,Prima e dopo: 10 minuti di Budget Reset.,Provalo gratis,Activation
30,IG Reels + TikTok + YT Shorts,CTA,"Se vuoi smettere di chiederti dove sono finiti i soldi, inizia da qui.",Scarica gratis,Lead
